"SUID","COMMON","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","name","selected","shared name"
"62","GCN3","-0.154","9.1177E-4","-0.501","3.5692E-6","0.292","0.011229","YKR026C","false","YKR026C"
"63","NAB2","0.174","8.7295E-4","0.02","0.61707","0.187","0.0059966","YGL122C","false","YGL122C"
"65","CRM1","-0.018","0.61381","-0.001","0.9794","-0.018","0.80969","YGR218W","false","YGR218W"
"66","SRM1","0.16","0.0021913","-0.23","0.0022461","0.008","0.93826","YGL097W","false","YGL097W"
"68","DED1","-0.033","0.39944","-0.056","0.31268","-0.91","8.349E-16","YOR204W","false","YOR204W"
"70","YEF3","-0.39","2.713E-8","-0.394","0.04747","-0.769","0.035939","YLR249W","false","YLR249W"
"71","TEF1","-0.138","9.8725E-4","0.009","0.89728","-0.278","6.7798E-4","YPR080W","false","YPR080W"
"73","TEF2","-0.074","0.053125","-0.063","0.15497","0.044","0.54556","YBR118W","false","YBR118W"
"75","GSP1","-0.242","1.7601E-5","-0.247","6.7968E-4","-0.128","0.012703","YLR293C","false","YLR293C"
"77","TIF34","-0.05","0.30844","-0.143","0.0085173","-0.151","0.072007","YMR146C","false","YMR146C"
"78","TIF35","0.078","0.072655","-0.209","0.0011724","0.354","1.6643E-5","YDR429C","false","YDR429C"
"80","GNA1","0.131","0.0017854","0.122","0.0055302","0.124","0.050323","YFL017C","false","YFL017C"
"82","EFB1","-0.157","0.0018696","-0.2","6.2814E-4","-0.146","0.013062","YAL003W","false","YAL003W"
"85","HRP1","0.245","9.8446E-6","0.126","0.0050114","-0.036","0.59496","YOL123W","false","YOL123W"
"86","RNA15","0.162","0.0013639","-0.211","0.0040902","0.281","0.0057448","YGL044C","false","YGL044C"
"88","NIP7","-0.231","0.0019352","-0.504","5.2826E-6","0.623","1.5609E-4","YPL211W","false","YPL211W"
"89","MSB2","-0.066","0.093717","-0.131","0.01294","-0.171","0.031836","YGR014W","false","YGR014W"
"91","MAD2","0.08","0.21701","-0.271","0.0092841","0.46","0.0045437","YJL030W","false","YJL030W"
"92","SAP4","-0.521","2.3655E-9","0.171","0.020857","-0.208","0.28721","YGL229C","false","YGL229C"
"94","MAD3","-0.072","0.14469","-0.154","0.046575","0.084","0.52778","YJL013C","false","YJL013C"
"99","YGR203W","-0.141","0.039575","-0.085","0.43554","-0.34","0.22451","YGR203W","false","YGR203W"
"100","SNP1","0.165","0.013072","-0.635","4.9035E-4","0.181","0.28119","YIL061C","false","YIL061C"
"102","TUP1","0.044","0.28551","0.704","1.832E-4","-0.091","0.69411","YCR084C","false","YCR084C"
"103","SSN6","0.108","0.009167","-0.004","0.92034","0.077","0.17771","YBR112C","false","YBR112C"
"105","ALPHA2","0.169","0.0012873","-0.085","0.11481","0.301","0.0027555","YCL067C","false","YCL067C"
"107","LSM4","0.193","7.0527E-5","-0.181","0.0037591","0.151","0.13653","YER112W","false","YER112W"
"108","RPS28A","-0.374","2.7303E-6","-0.239","1.0533E-4","-0.243","4.8633E-5","YOR167C","false","YOR167C"
"110","LSM8","0.059","0.6011","-0.435","0.070701","0.294","0.14344","YJR022W","false","YJR022W"
"111","LYS9","0.223","1.1825E-5","-0.131","0.0089039","0.647","1.1773E-7","YNR050C","false","YNR050C"
"113","YNL050C","0.301","1.425E-5","-0.448","0.0031926","0.594","7.5124E-4","YNL050C","false","YNL050C"
"115","YEL015W","0.222","3.0657E-5","-0.171","0.0052925","0.275","0.032829","YEL015W","false","YEL015W"
"118","RPS28B","-0.259","1.6086E-4","-0.299","2.0632E-4","-0.17","0.21059","YLR264W","false","YLR264W"
"120","YNR053C","0.352","2.1301E-7","-0.238","0.0048783","-0.012","0.90581","YNR053C","false","YNR053C"
"122","YER116C","0.029","0.56099","-0.11","0.18379","0.182","0.13915","YER116C","false","YER116C"
"123","HEX3","0.214","4.0439E-5","0.073","0.22129","0.593","2.0836E-5","YDL013W","false","YDL013W"
"125","MCK1","-0.046","0.27844","0.094","0.029538","-0.063","0.37572","YNL307C","false","YNL307C"
"126","CDC19","-0.652","1.3173E-10","0.123","0.10377","-0.453","1.5489E-7","YAL038W","false","YAL038W"
"128","RAP1","0.205","0.024692","0.015","0.93493","0.234","0.54155","YNL216W","false","YNL216W"
"129","PGK1","-0.668","7.3129E-10","0.329","2.4163E-5","-0.746","4.2315E-13","YCR012W","false","YCR012W"
"131","ENO1","-0.737","6.5621E-11","0.259","0.0079977","-0.171","0.025056","YGR254W","false","YGR254W"
"133","ENO2","-0.816","7.175E-11","0.241","0.011477","-0.217","0.0015357","YHR174W","false","YHR174W"
"135","RPL16A","-0.453","4.6153E-8","-0.311","1.1962E-4","-0.146","0.012589","YIL133C","false","YIL133C"
"137","PDC1","-0.62","6.9512E-11","-0.071","0.23784","-0.184","0.0064407","YLR044C","false","YLR044C"
"139","RPL18A","-0.409","1.7242E-7","-0.225","3.0221E-4","-0.62","3.898E-9","YOL120C","false","YOL120C"
"141","RPL18B","-0.379","7.3086E-7","-0.245","1.0721E-4","-0.271","1.2267E-5","YNL301C","false","YNL301C"
"143","HIS4","-1.067","3.8988E-11","-0.898","2.3894E-7","0.29","0.0016438","YCL030C","false","YCL030C"
"145","HSP42","-0.31","8.1757E-7","0.3","8.7039E-6","-0.723","1.4287E-12","YDR171W","false","YDR171W"
"147","PHO5","-0.704","2.3291E-7","0.075","0.088763","-0.543","3.6198E-13","YBR093C","false","YBR093C"
"149","RPS24A","-0.262","1.8517E-5","-0.449","2.1168E-6","-0.051","0.44216","YER074W","false","YER074W"
"151","RPS24B","-0.313","7.7038E-6","-0.467","1.0186E-6","-0.018","0.74944","YIL069C","false","YIL069C"
"154","RPL25","-0.192","4.4813E-4","-0.425","9.2415E-7","0.076","0.17224","YOL127W","false","YOL127W"
"156","TPI1","-0.584","3.6468E-10","0.053","0.48903","-0.728","8.6735E-12","YDR050C","false","YDR050C"
"158","ADH1","-0.113","0.0039297","0.245","3.2186E-4","-0.322","1.3104E-5","YOL086C","false","YOL086C"
"160","SNC1","-0.05","0.18782","0.027","0.55374","0.003","0.95396","YAL030W","false","YAL030W"
"161","DDI1","0.282","5.6125E-6","0.255","8.6796E-6","0.179","0.018361","YER143W","false","YER143W"
"163","SNC2","0.249","6.9534E-6","-0.112","0.06928","0.559","4.4793E-5","YOR327C","false","YOR327C"
"165","HOR2","-0.486","3.7312E-10","-0.942","1.2051E-8","0.359","5.8643E-6","YER062C","false","YER062C"
"166","YPL201C","2.058","6.0394E-10","1.18","8.9209E-7","0.597","0.0043411","YPL201C","false","YPL201C"
"168","YDR412W","0.067","0.27226","-0.641","1.6949E-5","0.991","2.4711E-5","YDR412W","false","YDR412W"
"169","YCR086W","-0.081","0.32121","-0.397","0.080473","0.381","0.17239","YCR086W","false","YCR086W"
"171","PDR1","0.185","1.959E-4","-0.152","0.013422","0.173","0.0945","YGL013C","false","YGL013C"
"173","SYF3","0.326","7.6184E-7","-0.234","0.0048407","0.712","6.8931E-6","YLR117C","false","YLR117C"
"175","CLB2","-0.234","3.9246E-6","-0.279","6.2635E-4","-0.342","1.6424E-5","YPR119W","false","YPR119W"
"177","NOP1","-0.039","0.32352","-0.176","0.012945","-0.038","0.62955","YDL014W","false","YDL014W"
"178","NOP5","-0.073","0.055533","-0.499","1.7322E-6","-0.157","0.041898","YOR310C","false","YOR310C"
"180","DMC1","-0.219","1.1807E-4","0.059","0.36733","-0.167","0.13801","YER179W","false","YER179W"
"182","PDC5","-0.645","1.2585E-11","0.027","0.58514","-0.351","1.2076E-8","YLR134W","false","YLR134W"
"184","YIL105C","0.196","6.9834E-5","0.023","0.66796","0.197","0.016148","YIL105C","false","YIL105C"
"186","PRT1","-0.02","0.60784","-0.085","0.11638","-0.237","0.0031451","YOR361C","false","YOR361C"
"187","NIP1","0.009","0.82076","-0.248","2.0319E-4","-0.123","0.1009","YMR309C","false","YMR309C"
"190","MYO2","0.51","5.9183E-9","0.432","8.2407E-8","0.296","1.1583E-4","YOR326W","false","YOR326W"
"191","MLC1","-0.262","1.3141E-5","-0.327","9.2389E-6","-0.059","0.29618","YGL106W","false","YGL106W"
"193","HSC82","-0.032","0.52469","-0.032","0.4995","-0.608","1.6833E-14","YMR186W","false","YMR186W"
"194","CNS1","0.082","0.10014","-0.479","1.5959E-5","0.519","3.7064E-4","YBR155W","false","YBR155W"
"196","GCN4","0.035","0.33125","0.032","0.41727","-0.031","0.55639","YEL009C","false","YEL009C"
"197","ILV2","0.04","0.27002","-0.358","9.4314E-4","0.095","0.14717","YMR108W","false","YMR108W"
"199","HIS3","-0.432","0.010979","-0.71","1.7979E-4","0.239","0.0054895","YOR202W","false","YOR202W"
"202","HIS7","-0.258","2.3151E-6","-1.252","1.6549E-7","0.898","3.3047E-5","YBR248C","false","YBR248C"
"204","ARG1","-0.652","4.9342E-6","-0.541","4.0958E-7","-0.815","5.9432E-10","YOL058W","false","YOL058W"
"206","ADE4","-0.514","1.522E-9","-1.296","1.4734E-8","1.202","4.7716E-11","YMR300C","false","YMR300C"
"208","CIN4","0.414","0.037256","-0.0","0.39944","0.221","0.12805","YMR138W","false","YMR138W"
"209","RPL42B","-0.359","7.7434E-7","-0.371","2.5233E-6","-0.139","0.012998","YHR141C","false","YHR141C"
"211","AHP1","-0.603","1.4814E-9","0.466","2.5668E-4","-0.486","2.3432E-11","YLR109W","false","YLR109W"
"213","STE50","0.126","0.003766","0.02","0.71364","0.284","0.015244","YCL032W","false","YCL032W"
"214","YDR032C","0.113","0.026191","0.331","2.0333E-6","-0.211","7.1391E-4","YDR032C","false","YDR032C"
"216","STE11","0.144","0.023963","0.037","0.50139","0.374","0.0010869","YLR362W","false","YLR362W"
"218","STE5","-0.068","0.34875","-0.121","0.42858","0.023","0.92304","YDR103W","false","YDR103W"
"220","CBF1","0.165","0.0013953","-0.306","0.0034755","0.103","0.43529","YJR060W","false","YJR060W"
"222","GAL10","0.061","0.098603","-1.993","3.3164E-11","2.856","3.9398E-18","YBR019C","false","YBR019C"
"223","GAL11","0.171","0.001834","0.055","0.33923","0.111","0.30922","YOL051W","false","YOL051W"
"225","MIG1","0.345","1.102E-7","0.31","1.7172E-6","-0.28","0.0070533","YGL035C","false","YGL035C"
